text_id,div_name,seg_id,word_count,top_anchors,text_preview
g1a1,A1 Höchster Schatz und Kleinod der Welt,10,105,"feuer, solches, salpeter, solche, zusammen, hernach, salis, waßer",wo sie nicht Raum genug haben und das Glas in loco frigido aufgehoben bis zum Gebrauch 4 D Praeparatio Salis Fixi Nun muß man nehmen alle Capita mortua von allen Bränden solche noch einmahl calciniere...
g1a1,A1 Höchster Schatz und Kleinod der Welt,11,30,folget,Solution keine feces mehr zurück läßet dann ist es pur und rein das verwahret alsdann gleichfalls in einem reinem Glaß wohlverbunden in loco calido bis zum Gebrauch Nun folget die...
g1a1,A1 Höchster Schatz und Kleinod der Welt,12,810,"theil, feuer, erden, solches, tagen, saltz, wieder, setze",Zusammenfügung unserer 3 Prinzipien und verschiedenen Dingen Bisher haben wir Leib Seel und Geist unseres gebendeytesten Steines von einander geschieden und ein jedes absonderlich so hoch als es mögli...
g1a1,A1 Höchster Schatz und Kleinod der Welt,13,120,"theil, feuer, damit, solches, wieder, diese, solche, geschehen",welchem nun unaussprechliches Secretum der Gesundheit und des reichtumbs vermittelst oft wiederholter imbibition congulation zu erkennen und zu erlangen die Feces seynd auch zu etlichen Scheidungen im...
g1a1,A1 Höchster Schatz und Kleinod der Welt,14,165,"theil, wasser, erden, wieder, diese, andern, hernach, ersten",beßer und herrlicher wird sie in Qualitate Es ist allemahl einerley Composition und Proceß nur daß die Zeit in jeder neu wiederholter Arbeit immer kürtzer wird und geschwinder als anfänglich zu Ende g...
g1a1,A1 Höchster Schatz und Kleinod der Welt,15,105,"damit, gantz, zusammen, davon, tinctur, rothe, nehmet, rothen",Tinctur gehört ad medicinam et Corpus humanum in der Zeit damit Mentem zu haben in Corpore sano zu erhalten Dosis est gran 1 2 3 et 4 zum allerhöchsten perse vel in vino 7 G Fermentatio et Corporalis ...
g1a1,A1 Höchster Schatz und Kleinod der Welt,16,30,"zusammen, quecksilber",1 Gran wickelts in ein rein gelb Wachs und Werfts im Fluß auf ½ lb CZ Blei Quecksilber Silber Zinn Kupfer und lasset es eine gute Stunde lang zusammenschmeltzen als...
g1a1,A1 Höchster Schatz und Kleinod der Welt,17,180,"spiritus, erden, damit, wieder, spiritum, gantz, diese, solche",denn gießet es aus in ein Zuguß so werdet ihr das allerfeinste Ducaten Gold haben in allen Proben beständig NB Ein philosoph Gran seynd 4 gemein Gran Observationes Nach dieser letzten Corporalischen F...
g1a1,A1 Höchster Schatz und Kleinod der Welt,18,90,"geschehen, tinctur, materia, arbeit",ein Blut dann ist die Tinctur in forma liquida das allerköstlichste Aurum potabile darvon 1 2 3 bis 4 tropfen eingenommen oder per se aus einem silbernen Löffel geleckt Zur dienstlichen Nachricht Obgl...
g1a1,A1 Höchster Schatz und Kleinod der Welt,19,199,"feuer, spiritus, erden, solches, saltz, wieder, salpeter, spiritum",Es muß jedoch im May wenigstens Junio der Platz und Orth wegen den schönen Blumen und Lufft observiret werden 8 H Abbreviatio der Vorarbeit R ecipe Von der Mutterlauchen welche die Salpeter Sieder aus...
g2a2,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",0,75,"andern, erstlich, wirdt, ander, daraus",A2 Es ist erstlich zu wissen daß die Erde aller sachen Saamen 15 21 Feb 1690 Processus Michaelis Sendivogij Equitis Polonj Es ist erstlich zu wißen daß die Erde aller Sachen Saamen wie auch aller ders...
g2a2,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",1,540,"theil, wasser, feuer, spiritus, erden, damit, solches, wieder",würkung und tugendt geschwängert und faecundieret daß sie von sich selber allerley Kreuter würmlein Thierlein mineralische und metallische funklein herfür bringt den ihn ihr ist großes geheimnüß diese...
g2a2,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",2,652,"theil, wasser, feuer, spiritus, erden, damit, kugel, solches",calcinir selbige im töpfer offen gar wohl extrahir darauß per aquam destillatam sein CZ Salz fixum daß muß durch vielfaltig solviren filtririeren undt coaguliren gantz rein und christallisch gemacht w...
g2a3,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,0,1020,"theil, wasser, feuer, spiritus, erden, damit, kugel, solches",54 Processus Michaelis Sendivogy equitis Poloni auf das universal cum CZ Wasser Folget universal process 55 Marcus Friedericus Rosenkreuzer hat diesen Process mit einem von adel laboriert nichts aus g...
g2a3,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,1,59,"erden, diese, nichts, davon, tinctur, werde",angefangen werden wiltu die tinctur zur medicin brauchen so solvir dieselbe CZ Skrupel 1 in S Von diesem Process wollen die recentiores phil nichts halten sagen das dieser process oder Lapis noch nich...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",0,60,"andern, erstlich, ander",A4 Processus D Michaelis Sendivogii super centrum universi seu Sal centrale 231 50 Processus D Michaelis Sendivogii super centrum universi seu Sal centrale Erstlich ist zu wissen daß die Erde allen Sa...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",1,45,"setze, setzet",Elementen und Himmeln impraegnirt und ist das centrum und Fundament wie auch die Mutter aller Dinge darauß alles gebohren wird dann sie ist nach der Geburt gereiniget und subtilirt und wann man sie un...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",2,105,"wasser, feuer, erden, damit, wieder, zusammen, natur, klein",Tugenden Kräfften und Würckungen saecundirt und geschwaengert daß sie vor sich selbsten allerley Wurtzel Kräuter Mineralien und Metallen Füncklein herfür bringen wird dann in ihr ist grosse Geheimnus ...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",3,135,"spiritus, erden, saltz, diese, recipe, andern, hernach, nitri",anderer Sternen Strahlen empfangen da je mehr und hitziger die Sonne und andere Stralen schiessen je mehr centralischer das CZ Salz nitri wird jedoch NB soll dieses von philosophischen und nicht vom g...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",4,30,"terra, natur",Stern Strahlen genugsam geschwängert divide hanc terram in duas partes aequales und hoc ideo fit ut naturae debitum und aequale pondus rite possit reddi quia ex una parte conficitur nitrum...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",5,45,"diese, erstlich, volatile, arbeit, salia",philosophicum ex altera parte vero sal volatile und corpus extrahitur und sic hac via und methodo dummodo diligenter ad labores attendatur non facile in pondere erratur quod facile contingit si ex una...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",6,270,"wasser, spiritus, erden, damit, solches, setze, salpeter, gantz",nicht anderst als durch sieden flitriren evaporiren und schiessen als wie bey den Salpetersiedern gebräuchig vollbracht es muß aber solches auffs höchste gereiniget also daß das Nitrum auff die höchst...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",7,420,"theil, wasser, feuer, spiritus, erden, damit, solches, setze",alles abdistillirt und in Spir pur hintertrieben alsdann muß man zu distill auffhören Wiewol sich die Spir CZ Erde CZ Salpeter nicht gern vom Balneo erheben lassen jedoch geschicht diese observation u...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",8,90,"wasser, spiritus, spiritum, recipe, nitri, terra, volatile, spiritu",und dignosces terra haec quae remanet vocatur terra maledicta und damnata hanc abjice quia nullius est usus in opere Extractiones omnes filtra und coagula usque dum fiat crystallinum und purissimum Et...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",9,105,"recipe, salis, kolben, terra, natur, terrae, klein, menstrui",drachmas cinque Salis fixi decies purificati per solutionem und coagulationem drachmam semis Salis volatilis bis vel ter rectificati per sublimationem reiteratam grana 15 misceantur Aliam ponderum des...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",10,165,"wasser, feuer, kugel, setze, diese, athanor, ersten, erste",calore una cum solutione pro digestione collocatum fuerit tunc exime und cola durch ein Trächterlein in phiolam vitream capacem ita ut tantum tertia phiolae pars impleatur Dein phiolam hermetice sigil...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",11,120,"feuer, erden, kugel, athanor, materia, werde, phiol",als daß mans mit einem Finger erleiden möge so werden sich intra dies quadraginta omnis generis colores erzeigen pavonis caudae und sub finem color adinstar viridis Postea Excime ex cineribus vitrum t...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",12,210,"wasser, feuer, damit, kugel, tagen, setze, diese, recipe",appareat hoc signum bene observa quia hoc granum est semen CZ Gold lis Pulverem rubicundum qui in circuitu hujus grani est separatim accipe quia non est aptum ad opus granum autem rubino simile cum ma...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",13,75,"recipe, athanor, natur, fixum, darnach, phiol",wird geschicht ungefähr circiter inter 40 Täg darnach probier ein wenig auff einem glüenden silbernen Blech obs rauchet oder fliesset ad instar cerae si fumaret iterum vas pone ad inferiorem partem ar...
g2a4,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",14,194,"theil, feuer, wieder, zusammen, erste, tinctur, pulver, klein",2da perforata post triduum cauda pavonis usque ad viriditatem demum in ultimo globo in arena intra triduum similiter rubedo Hic labor und multiplicatio potest bis ter usque in infinitum iterari eodem ...
g1a5,A5 Praeparatio salis nitri ex terra virginea altera,0,90,"wasser, erden, damit, saltz, salpeter, darauf, einander, stehen",altera Lasset Euch machen etliche Fässer wie die Salpetersieder haben und mit Stöckhölzern und Zapffen lasset auch einer Hand hoch fein rein und saubers Strohe fest übereinander auff die Stöckhöltzer ...
g1a5,A5 Praeparatio salis nitri ex terra virginea altera,1,75,"theil, erden, damit, solche, andern, solcher, ander",auffgemachten Zapffen langsam abtreiffen in ein anders höltzenes Gefäß und machet solcher Erden Laugen eine gute quantität Wann nun der selben Laugen eine gute quantität vorhanden so lasset sie in ein...
g1a5,A5 Praeparatio salis nitri ex terra virginea altera,2,105,"wasser, spiritus, erden, salpeter, nitri, salis, nichts, terra",seyn und lästs also etlich Tag kühl und unbewegt stehen so wächst das reine Erd Salz im Kessel an wie ein anders nitrum dasselbige muß man folgends mit solviren coaguliren und so offt reinigen und läu...
g1a5,A5 Praeparatio salis nitri ex terra virginea altera,3,75,"spiritus, salpeter, diese, andern, nitri, terra, natur, terrae",stecket darauß Leben und Gesundheit herfleust proinde ut inferius latius Modo intrabimus laboratorium chymicum Dieses unser CZ Salz nitri terrae virgineae ob es wol dem Ansehen nach nur ein Ding zu se...
g1a5,A5 Praeparatio salis nitri ex terra virginea altera,4,90,"feuer, spiritus, erden, saltz, diese, recipe, hernach, nitri",tile Zum Dritten steckt auch in ihm ein Sal alcali oder Sal fixum Also ist es dreyerley und imitirt seinen Schöpffer in diesem Puncto welches alles mediante CZ Feuer te in praeparatione sequenti modo ...
g1a5,A5 Praeparatio salis nitri ex terra virginea altera,5,270,"wasser, spiritus, spiritum, salis, terra, terrae, volatile, spiritu",inspersione tantillum aquae destillatae purissimae desiccentur bene imponantus retortae forti fictili per gradus ignis in recipientem in quo prius sit imposita aquae destillatae libra una quando spiri...
g1a5,A5 Praeparatio salis nitri ex terra virginea altera,6,90,"spiritum, recipe, nitri, volatile, pulver, spiritu, fixum",gradu tam perfecto und eminente ad quem in praevia hacce praeparatione per artem pyrotechniae potuit perduci und a suis heterogeneis und annexis maledictionibus primordiablibus liberari In subquentibu...
g1a5,A5 Praeparatio salis nitri ex terra virginea altera,7,525,"wasser, erden, wieder, diese, recipe, andern, athanor, terra",juncturae cucurbitae und ponatur ad digestionem lenem und haec tria principia amicabiliter reunietur und efficientur una aqua Quodsi in hac aqua 3 principiorum resolutorum faeces adhuc quaepiam vel te...
g1a5,A5 Praeparatio salis nitri ex terra virginea altera,8,60,"recipe, pulver",cujus medio videbitur und invenietur lapis lucidus Rubini forma qui est Phaenix noster Philosophicus ignem superans und in illo gaudens qui ex pulvere circumjacente tanquam pullus tenelius ex testa ov...
g1a5,A5 Praeparatio salis nitri ex terra virginea altera,9,150,"feuer, solches, wieder, setze, diese, solche, recipe, davon",circumjacente tanquam a suis excrementis quae in interiore sua radice haeserant latebanque Und hat sie in dieser pur lautern Nacharbeit die Natur selber weilen es der Kunst unmöglich gewesen per minim...
g1a5,A5 Praeparatio salis nitri ex terra virginea altera,10,205,"wasser, gantz, hernach, tinctur, natur, arbeit, menstrui, ander",aquae nostrae partes x impone phiolae sigillatae und solutum transeat per colores ut supra usque dum sit fixissimum und rubicundissimum Haec multiplicatio potest repeti quam diu placuerit und semper l...
g1a6,"A6 Praeparatio Salis Terrae, seu Salpetri nostri e Terra Virginea",0,300,"theil, wasser, spiritus, damit, tagen, wieder, salpeter, diese",A6 Praeparatio Salis Terrae seu Salpetri nostri e Terra Virginea 121 Praeparatio Salis Terrae seu Salpetri nostri Philosoph e Terra Virginea Im Monath May wenn der Himmel klahr helle und rein auch das...
g1a6,"A6 Praeparatio Salis Terrae, seu Salpetri nostri e Terra Virginea",1,360,"theil, wasser, feuer, spiritus, erden, damit, kugel, solches",Waschen und Kochen umgehen Sal hoc naturae so zwar ein eintziges Ding zu seyn scheinet so hat es doch 3 unterschiedliche Salia in sich denn vor sich selber ist es erstlich ein Sal universale Salpetri ...
g1a6,"A6 Praeparatio Salis Terrae, seu Salpetri nostri e Terra Virginea",2,195,"wasser, feuer, erden, solches, wieder, setze, spiritum, diese",124 reiniget solches auff das höheste und beste bis es schön weiß helle und klahr wird wie ein Crystall und keine Faeces mehr hinter sich lässt Compositio trium principiorum Nun habet ihr Leib Seel un...
g1a6,"A6 Praeparatio Salis Terrae, seu Salpetri nostri e Terra Virginea",3,120,"wasser, erden, damit, wieder, materia, gehen, werde",Wasser des Lebens mit dem sich alle Metallen gerne vereinigen insonderheit aber das CZ Gold so sich darinne verjüngert 125 das Wasser so alle todte Metallen lebendig macht die Fontina worinne sich all...
g1a6,"A6 Praeparatio Salis Terrae, seu Salpetri nostri e Terra Virginea",4,450,"theil, wasser, feuer, spiritus, erden, solches, tagen, setze",ihm stecket alles und kommt aus ihm alles her Es ist das verum esse aller Dinge Es ist unsere Philosophische Jungfern Milch x Die Nach Arbeit und Zusammensetzung des Ferments oder Goldes mit unserem P...
g1a6,"A6 Praeparatio Salis Terrae, seu Salpetri nostri e Terra Virginea",5,87,"wasser, erden, tagen, setze, recipe, kolben, materia, werde",daß es scheinet wie die edelsten Perlen Felix qui potest conficere Recipe Materiam nostr in hoc aere Mercurius Philosoph et vera Minera Mercurii et Vitrioli et convertitur paucis horis in Queck Metall...
g2a7,A7 Labor et praxis Michaelis Sendivogi Poloni,0,195,"wasser, feuer, wieder, setze, salpeter, natur, andere, philosophorum",praxis Michaelis Sandivogi Poloni quem eius Laborator Johannes podowski Hier ist zu wissen das die Erde aller Sache Samen wie auch derselben würkung undt tugendt in sich schleust undt begreift dann si...
g2a7,A7 Labor et praxis Michaelis Sendivogi Poloni,1,120,"theil, spiritus, erden, saltz, salpeter, recipe, hernach, natur",spiritus mundi in einen flüssigen CZ Salz in dißer jungfräullichen Erde verborgen undt letztlich ist ein fixes saltz als ein receptaculum oder behaltnuß der vorigen beeden von gott einpflanzt daß also...
g2a7,A7 Labor et praxis Michaelis Sendivogi Poloni,2,1005,"theil, wasser, feuer, spiritus, erden, damit, kugel, solches",lia ziehen wolt Leichtlich geschehen könte NB in böhmen bei Cometau ½ Meil davon bricht ein Bolus in einem Dorf der ist vom gestürn statlich impreg nirt undt ist nicht tief zu graben 1 de spiritu CZ S...
g2a7,A7 Labor et praxis Michaelis Sendivogi Poloni,3,289,"theil, feuer, spiritus, erden, solches, tagen, diese, solche",Feuer das man keinen finger drinn erleiden kan so wierts in 80 CZ Tag weiß procedier undt verfahr also biß auf die gilbe die in 30 3 tagen volget dann seze das glas zu undterst in Sandt biß roth durch...
g2a8,A8 Processus Universalis per Spiritum Universi Sendivogij Poloni,0,495,"theil, wasser, feuer, spiritus, erden, damit, solches, saltz",Poloni Es ist erstlichen zu wissen das die Erde aller dinge Saahmen wie auch derselben wirckung und tugendt in sich schleust und begreiffet denn sie ist das subjectum aller himmlischen Straalen und ei...
g2a8,A8 Processus Universalis per Spiritum Universi Sendivogij Poloni,1,210,"theil, wasser, spiritus, erden, damit, solches, setze, salpeter",einer wiesen wo sonsten schöne blümlein und kreuterlein pflegen zu wachsen viereck 3 Elen lang und breitt in quadrato morgens ante solis ortum colligierten wir die salische Erde in superficie ebener m...
g2a8,A8 Processus Universalis per Spiritum Universi Sendivogij Poloni,2,150,"wasser, spiritus, damit, solches, wieder, spiritum, gantz, diese",man allezeit wenn eine destillation verichtet den ofen wohl erkalten den recipienten abgenommen und wohl verwahret Im fall die retorta noch gantz mag sie widerumb gebrauchen calcinierte Erde und nitru...
g2a8,A8 Processus Universalis per Spiritum Universi Sendivogij Poloni,3,270,"theil, wasser, feuer, spiritus, erden, damit, solches, saltz",lutato et da ignem per gradus biß die spiritus alle herüber sein aportit ut filsuru bene sint clausa 162 Spiritus evolunt hoc facto frigescat und verwahre die spiritus in vitro clauso in loco frigido ...
g2a8,A8 Processus Universalis per Spiritum Universi Sendivogij Poloni,4,60,"feuer, erden, recipe, erste, aschen, werde, asche",kann de novo sublimiert werden ita ut nulla faces amplius sentiantur hoc sal 163 custodi in vitro peculiari bene clauso alias ab aëre facile risolventur in aquam Zu dritten Vom Sale fixo Recipe die hi...
g2a8,A8 Processus Universalis per Spiritum Universi Sendivogij Poloni,5,45,"wasser, erden, damit, wirdt",damit mit CZ Wasser pluviali destillata calida alß so man sonst eine lauge machet so wird mit dem CZ Wasser das fixe CZ Salz hindurch rinnen procedir so lange biß das kein CZ Salz mehr in der Erden ge...
g2a8,A8 Processus Universalis per Spiritum Universi Sendivogij Poloni,6,105,"wasser, erden, damit, spiritum, diese, recipe, zusammen, nitri",den philosophis terra maledicta genandt quam abyce Das CZ Wasser cum sale filtra evapora tune habis sal in fundo hoc solve filtra coagula aliquotics doxe christallium sit et perspicuum et tune etiam p...
g2a8,A8 Processus Universalis per Spiritum Universi Sendivogij Poloni,7,585,"theil, wasser, feuer, erden, damit, kugel, solches, tagen",procediren soll sequitur In autem Dieses ist da von ich mundliche meldung gethan das die edle Steijne zerfallen CZ Antimon CZ Schwefel CZ Arsenik succinum sey was es wolle perlen corallen uff den tisc...
g2a8,A8 Processus Universalis per Spiritum Universi Sendivogij Poloni,8,326,"theil, feuer, damit, kugel, solches, tagen, wieder, setze",ein wenig auf einen glüenden 166 Silber blech obs rauche und fliesse wie ein wachs Im Fall das es rauchet muß man zu undrist wider in den Sandt thun und besser figiren biß es CZ Feuer beständig werde ...
g3a9,A9 Das grosse Geheimnuß Sendivogij eben von diesen Allsteinio,0,318,"theil, wasser, erden, damit, tagen, wieder, spiritum, diese",A9 Das grosse Geheimnuß Sendivogij eben von diesen Allsteinio 166 Regulae Phylosophiae a Domino Iacobo Allsteinio D Under den 4 Mütteren ist ein Ackher verordnet von Adamischer Erden in solche Erden m...
g2a11,A11 Dieser Kunst Praxis ist diese,0,465,"theil, wasser, feuer, spiritus, erden, damit, saltz, wieder",A11 Dieser Kunst Praxis ist diese 289 Dieser Kunst Praxis ist diese Nimm von der wahren Erden von Sonn Mond und andern SternStralen wolgeschwängert theil sie in zwey Theil welches darum geschicht dami...
g2a11,A11 Dieser Kunst Praxis ist diese,1,943,"theil, wasser, feuer, spiritus, erden, damit, kugel, solches",welche im Grund des Kolbens verblieben soll nach der Kunst gebührlich sublimirt werden mit dem aufgesetzten blinden Helm so wirst du ein Saltz wie ein Schnee gar subtil erlangen welches durch öfftere ...
g2a12,A12 Lapis Philosophorum Sendivogii,0,1487,"theil, wasser, feuer, spiritus, erden, damit, kugel, solches",A12 Lapis Philosophorum Sendivogii 52 Lapis Philosophorum Sendivogii Nimm von der rechten Erden die von CZ Sonne und CZ Mond und andern Sternen wohl geschwanger ist theile solche in 2 gleiche Theil au...
g2a13,A13 Labor Universalis eines wahren Adepti,0,60,daraus,zu wissen daß die Erde aller Sachen Saamen wie auch derselben Würckung und Tugend an sich nimmt und begreifft Dann sie ist das Subjectum aller Himmlischen Influenzen sie 71 wird auch von dem Himmel un...
g2a13,A13 Labor Universalis eines wahren Adepti,1,225,"theil, wasser, feuer, spiritus, erden, damit, saltz, wieder",und unter den freyen Himmel gesetzet sie alsbald geschwängert wird von den Himmlischen Wirckungen und Tugenden daß sie von sich selbsten allerley Kräuter Würme Animalia Metallische Füncklein zu oder h...
g2a13,A13 Labor Universalis eines wahren Adepti,2,105,"theil, erden, damit, salpeter, diese, geschehen, nichts, davon",NB In Böhmen bey Commethau 1 halbe Meile davon bricht ein Bolus in einem Dorffe der ist von denen Astris sonderlich impraegniret Item in Lothringen bey Theitenhofen welche Erde die Tuchmacher brauchen...
g2a13,A13 Labor Universalis eines wahren Adepti,3,683,"theil, wasser, feuer, spiritus, erden, damit, kugel, solches",untereinander gemenget und gereiniget thue solche wohl verlutiret in eine Retorte jedoch soll man auf einmahl über 6 Pfund nicht einsetzen nehmlich anderthalb Pfund Salpeter und fünfftehalb Pfund der ...
g1a15,A15 Descriptio Tincturae Universalis,0,180,"damit, setze, gantz, diese, solche, salis, davon, tinctur",A15 Descriptio Tincturae Universalis 9 DESCRIPTIO TINCTURAE UNIVER SALIS IN NOMIE TRINITTATIS DESCRIPTIO TINCTURAE UNIVERSALIS 1 DE MATERIA CRUDA Im Monath Martio im Vollem Monde frühe vor Aufgang der...
g1a15,A15 Descriptio Tincturae Universalis,1,375,"theil, wasser, feuer, erden, damit, tagen, wieder, setze",zur Ende des Mayen rühre Sie oftt ümb damit sie durchaus fein impraegniret werden alß denn besprenge sie wohl mit Mayen Thau so in zunehmendes Monden gesamblet ist und rühre es fein unttereinander und...
g1a15,A15 Descriptio Tincturae Universalis,2,255,"theil, feuer, spiritus, damit, kugel, solches, wieder, spiritum",Sie in destilirten rore majali filtrire coagulire und reinige sie so oft biß Sie keinen schaum und Unreinigekeit mehr von sich geben welches in 3 biß 4 mahlen geschiehet und alß dann ist unser Nitrum ...
g1a15,A15 Descriptio Tincturae Universalis,3,990,"theil, feuer, spiritus, erden, damit, solches, tagen, wieder",zu werden doch daß es nicht vitrificire als denn laße es erkalten und übergieße es mit destilierten rore majali daß der thau eine gute Hand hoch drüber gehe laß den Thau zuvor siedent werden verdecke ...
g1a15,A15 Descriptio Tincturae Universalis,4,165,"theil, feuer, erden, solches, wieder, setze, diese, solche",Zeit geschiehet das Erstemahl aber die Zeit zu verkürtzen kan mann den 8ten Theil fein geläuttert CZ Gold zusetzen XI MULTIPLICATIO IN QUALITATE Nimm Ein Theil dieses Rubin Korns u drey Theil des troc...
g1a15,A15 Descriptio Tincturae Universalis,5,60,"theil, erden, solche, davon, darauf, pulver, materia, sondern",Mercurium laß solchen in einen Tiegel wohl warm werden und wenn es beginnt zu rauchen so trage Ein Theil von dem Lapide modo philosophico darauf und verdecke den Tiegel so wird der Mercurius alle zu e...
g1a15,A15 Descriptio Tincturae Universalis,6,570,"theil, feuer, spiritus, damit, solches, wieder, setze, spiritum",Gold wird Ende des trockenen Weges 16 XIV Naßer Weg RECTIFICATIO ET PURIFICATIO PRINCIPIORUM Den liquoren worinnen die rohte Sele oder CZ Schwefel Philosophorum stecket rectificire erst cohibire dense...
g1a15,A15 Descriptio Tincturae Universalis,7,105,"feuer, solches, setze, solche, athanor, andere, materia, solcher",setz es in gelinde Wärme so wird das CZ Gold darinnen aufgelößet und zu einem Saamen verkehret in welchem Semine die prima materia des CZ Gold enthaltten und von unserer prima materia angezogen wird u...
g1a15,A15 Descriptio Tincturae Universalis,8,450,"theil, feuer, erden, solches, wieder, setze, gantz, diese",grad mehr CZ Feuer so erzeiget sich der Regenbogen und wird zuletzt eine grüne Farbe welche unsere gesegnete Grüne ist haltte mit der digestion 45 Tage an und stärcke das CZ Feuer so beginnet es weiß ...
g1a15,A15 Descriptio Tincturae Universalis,9,77,"theil, erden, solche, davon, andere, pulver, sondern, theile",zur transmutation der Metallen XX PROJECTIO Nimm 100 Theil Mercury purgati last solchen im Tigel wohl warm werden und wenn Er beginnet einen schwartzen Rauch von sich zu geben alßdenn trage 1 Theil de...
g1a16,A16 Processus Praeparationis Salis Nitri Nostri e Terrae Virginea,0,225,"wasser, erden, saltz, salpeter, gantz, solche, hernach, nitri",A16 Processus Praeparationis Salis Nitri Nostri e Terrae Virginea 25 Processus Praeparationis Salis Nitri Nostri e Terrae Virginea Laßet Euch machen etzliche Fäßer wie die Salpeter Sieder haben unten ...
